opportunity,customer,problem,existing_solution,direct_competitors,indirect_competitors,pricing,market_size,willingness_to_pay,market_growth,ai_leverage,ai_commoditization_risk,agi_resilience,asi_resilience,barrier_to_entry,barrier_type,capital_required,time_to_first_revenue,belgium_feasibility,eu_expansion,regulatory_difficulty,technical_difficulty,distribution_difficulty,defensibility,recurring_revenue,founder_fit,interest_fit,overall_score,status,rejection_reason
AI-native fractional controlling / HQ reporting for BE-LU subsidiaries and holdings,"Finance manager of a BE/LU subsidiary of a foreign group, or owner/CFO of a 3-15 entity Belgian holding","Small local finance teams must produce HQ-format monthly packs, consolidation and commentary; interim controllers cost EUR 600-800/day","In-house controller, interim/freelance controller, Big-4 managed services, Excel","Interim agencies (Apex League, Michael Page, Robert Half), Finvision, FinForces, Flow Partners, EY/KPMG managed services","Neno (NL, bookkeeping), Skalar (DE, tax), Datarails/Copilot used in-house","Controller EUR 600-800/day; CFO EUR 900-1,400/day (VERIFIED); retainer ESTIMATE EUR 1,000-3,000/month",Belgian foreign-owned subsidiaries count: Evidence not found; solo ceiling ~10 retainers = EUR 240k/yr (ESTIMATE),8,6,7,4,4,3,2,"LOW; GOOD once tooling and references accumulate, BAD while purely labour",EUR 0-500,1-3 months,8,6,2,Low for service; moderate for product (connectors + mapping),3,4,8,10,8,72.1,TOP-1 cash engine (OPP-A),
"Done-for-you group consolidation and intercompany clean-up for Belgian holdings on Odoo/Exact, productised later","Group controller / owner-CFO of 3-15 entity Belgian holding, often on Odoo 18/19 (consolidation app removed) or Exact","Monthly Excel consolidation, unreconciled intercompany, no bank/board-grade group numbers; Lucanet too heavy","Excel, hiring a consolidation controller, Speedbooks/Finstack/Liquid (NL, Exact-first), PwC CaaS","Easyclose EUR 705-905/mo (10 entities), Finstack from EUR 39/mo, Speedbooks EUR 69/mo, BrightAnalytics, EMAsphere, Exact Consolidatie, Silverfin, Prophix/Sigma Conso, Lucanet","Odoo partners (Gravitai), PwC consolidation-as-a-service, Power BI boutiques","Tool layer EUR 39-905/mo (VERIFIED); Lucanet ~$1,200/user/yr + implementation; freelance controller EUR 600-800/day",Belgian groups with 3+ entities: Evidence not found (ESTIMATE 5-10k); service SOM EUR 0.6-2.4M/yr,7,6,7,4,4,3,3,"LOW-MODERATE; GOOD (domain templates, Odoo know-how, references)",EUR 0-500 service; EUR 2-5k product,1-3 months,8,7,3,Moderate: LLM CoA mapping + IC matching + Odoo/Exact connectors,4,5,8,10,9,69.9,"TOP-1 cash engine (OPP-A, service leg); product leg rejected",Odoo 19/20 and EUR 39/entity SaaS cover consolidation tooling
"Peppol portfolio operations for accounting firms (exception triage, master-data hygiene)",Belgian accounting firms 5-50 staff whose clients sit on several access points and ledgers,Rejected/undelivered e-invoices and bad identifiers delay cash and create fines; nobody sees the whole portfolio,"Access-point support tickets, Excel lists, per-account audit logs (Billit), advisory content","None named at portfolio level; Billit evidence files, Peppol Box identifier support, Cashfeed (AP side)","Peppolcheck.be (free), peppolvalidator.com, Taxilla middleware, ERP integrators bundling clean-up",Access points EUR 5-10/mo per company (VERIFIED); firm-level tool WTP: Evidence not found (INFERENCE EUR 50-150/mo),"5-7k firms x EUR 600-1,800/yr = EUR 3-13M/yr BE (ESTIMATE); SOM 30-100 firms",5,8,5,5,4,3,2,LOW; BAD (easy for Billit/Peppol Box to absorb) unless multi-AP data becomes an asset,EUR 0-500,1-3 months (audit service),9,7,2,Low-moderate: Python + OSS MCP servers + directory lookups,4,4,7,7,7,63.9,RESERVE service wedge (OPP-B); product rejected,Belgian Peppol Authority scanner cut errors 2.41%->0.31%; vendor views; Peliqan
Productised QoE-light financial analysis for small Belgian acquisitions,"Buyers of EUR 0.5-5M businesses (individual acquirers, successions, small PE) and their accountants/brokers",Below EUR 10M diligence is skipped or minimal; mid-tier fees uneconomic; buyers overpay or miss issues,"Buyer's accountant 'has a look', lawyer checklists, skip DD","None productised in BE; Baker Tilly/Moore/VGD/BDO/Vandelanotte bespoke; Rapid Diligence (US from USD 8,900), Scalemetrics (CH)","AI QoE tools for advisers (Finsider, Keye, Termina), brokers' light DD",US sub-5M USD 7-30k; CH CHF 8-60k; BE accountant EUR 80-150/h (VERIFIED); BE small-deal QoE: Evidence not found,850-950 announced BE deals/yr skew mid-market; addressable small deals: Evidence not found; solo 20 reports/yr = EUR 120k,7,5,6,5,3,3,3,"LOW; GOOD (references, method), BAD (one-off)",EUR 0-500,1-3 months,7,6,4,"Low-moderate (NBB XBRL, bank statements, normalisation)",5,4,3,9,8,62.5,TOP-2 only with ITAA/IBR signatory (OPP-C),"Art. 3, 5 reserved activity; Analyzediz/Syno/Bol exist"
AI-assisted reporting/automation capacity partner for accounting firms with client stops,Belgian firms 5-30 staff with client stops (56% of firms),Cannot hire; cannot deliver advisory/management reporting or build automations,"Client stops, offshoring (USD 10-30/h), Ravical/Dytto software, price increases","Ravical (EUR 7.3M, 100+ practices), Dytto, Eastvantage, Aviaan/2Max white-label","Silverfin Assistant, Exact Purchase Agent, Bizzcontrol",Offshore USD 200-750/client/mo (VERIFIED); firm rates EUR 50-150/h; on-shore reporting capacity: Evidence not found,"~3,400 firms with client stops (VERIFIED share x INFERENCE base); solo cap 3-5 retainers",6,7,7,5,4,3,4,MODERATE; regulatory barrier is BAD (ITAA reserves accountancy for third parties),EUR 0-500,1-3 months,8,5,6,Low-moderate,4,3,7,8,6,61.2,FOLDED into OPP-A / venture experiment,ITAA reserved activities; subcontracting route only
2028 e-reporting readiness and reported-vs-booked reconciliation,Same firms as U-002 plus SMEs with POS/multiple invoicing systems,Dual-sided near-real-time reporting from 2028 will expose mismatches between what FPS Finance sees and the ledger,Nothing yet; periodic VAT returns,None in Belgium; Italian SIAC FTEL ADRI and Spanish SII reconciliation tools prove the category,"Transmission vendors (Fonoa, Storecove, EDICOM), ledger vendors, Silverfin Assistant",Storecove ~EUR 495/mo per entity (VERIFIED); reconciliation WTP: Evidence not found,EUR 3-8M/yr BE ceiling from 2028 (ESTIMATE),3,9,5,5,4,3,3,LOW; timing barrier (BAD: zero revenue before 2027),EUR 0-500,18+ months,9,7,2,Moderate,4,5,8,7,7,60.3,RESERVE 2027 build (OPP-B second act),Dataset only in early-2027 Royal Decree; foreign analogues bundled into software
DORA vendor pack for small ICT suppliers to financial entities (BE/LU/NL),"SaaS/IT-services SMEs selling to banks, insurers, funds in BE/LU",Bespoke Art. 30 addenda and Register-of-Information data requests from every client; negotiated 30 times,"Own templates, law firms hourly, ISO 27001 as substitute","No vendor-side product; Hybridity, RegReportingDesk, DORApp, 3rdRisk are buyer-side","Law firms, free regulation-dora.eu tools, Vanta/Drata trust centres",Pack price: Evidence not found; INFERENCE EUR 2-5k one-off + EUR 1k/yr refresh,1-3k relevant SMEs x EUR 2-3k = EUR 2-9M one-off pool (ESTIMATE); CSSF: 40% RoI filed by Mar 2026,6,4,6,5,3,3,2,LOW; BAD (low recurrence),EUR 0-500,1-3 months,8,7,3,Low (agent assembles pack from vendor documents),5,3,4,6,5,58.3,TOP-3 side service (OPP-E),"DoraPilot EUR 29-49/mo; weak recurrence; 500-1,050 vendors"
Independent finance-automation ROI review for SME CFOs,SME CFOs/CEOs who bought agency PoCs or plan AI spend,95% of pilots fail; agencies' audits are conflicted lead magnets,"Agency audit (free-EUR 2.5k), fractional CFO, abandon","WDC, Flowful, Aives, LTC, ClickForest (BE agencies); Crux Digits (NL EUR 2.5k audit)","Big-4/Gartner, accountant, free AI Act checker","Crux EUR 2,500 audit; BE fractional CFO EUR 1,000-1,800/day (VERIFIED)",~11k AI-using BE firms >=10 staff; 2% x EUR 2.5k = EUR 0.55M/yr (ESTIMATE),5,8,6,7,2,2,1,VERY LOW; BAD (no moat),EUR 0,<1 month,8,5,1,None,4,2,3,7,6,58.3,"CASH-ENGINE option, not a company",No moat; agency lead-magnet
Variance-commentary / management-reporting agent (Excel-native),FP&A/controllers at mid-market and subsidiaries,Hand-written packs,"Excel, Copilot, Datarails/Pigment","Microsoft Finance Agents (GA Apr 2026) + Copilot Excel Skills (Jun 2026), Syft $39-79, Fathom GBP 33, Datarails $24k+, Endex",Consultants,See direct (VERIFIED),Services ceiling EUR 60-180k/yr,4,7,8,8,2,2,3,VERY LOW; BAD (platform bundling),EUR 0-500,3 months,6,7,1,Low,5,2,6,9,8,57.9,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
Brussels co-ownership renovation financing packs for syndics and facilitators,Professional syndics and PEB experts/renovation facilitators in Brussels; the AG of co-owners decides,"Multi-year capex, per-lot allocation, prime/ECORENO stacking and loan vs reserve choices ahead of 2030/2033 PEB deadlines; AGs defer","Excel, PEB experts, free public advice (Homegrade), deferral","None commercial in BE; French PPT tools (AnalysImmo, Bureau Veritas) exist because PPT is mandatory there","Homegrade/Renolution (free), Flemish public VME financing tool (announced), KBC VME loan desk, Look&Fin",Any paid planning tool: Evidence not found; pack ESTIMATE EUR 300-800,~22k Brussels buildings (ESTIMATE) x EUR 500 = EUR 11M one-off over 7 years,3,7,5,4,5,4,4,"LOW-MODERATE; BAD (public free-tool risk, annual AG cycle)",EUR 0-500,3-6 months (AG season),9,5,4,Low (financial model + document extraction),6,5,3,7,6,57.7,RESERVE (OPP-D),Primes gone; ECORENO closed to ACPs; free facilitator; calendar slipped
